ID,coordinates
SRR12487035,36.969389 N 127.894244 E
SRR12487037,37.806611 N 126.787083 E
SRR12487038,37.449944 N 127.658194 E
SRR12487040,37.449944 N 127.658194 E
SRR12487041,37.304056 N 127.618611 E
SRR12487043,37.304056 N 127.618611 E
SRR12487044,37.304056 N 127.618611 E
SRR12487047,36.969389 N 127.894244 E
SRR12274735,26.612750 N 80.275278 E
SRR12274736,29.956250 N 78.170889 E
SRR12274737,30.126500 N 78.353750 E
SRR12274738,30.145417 N 78.597667 E
SRR12274739,30.145389 N 78.598917 E
SRR12274740,30.147000 N 78.597611 E
SRR12274741,11.362944 N 77.742028 E
SRR12274742,12.426333 N 76.574611 E
SRR12274743,22.247705 N 76.147048 E
SRR12274744,22.763104 N 77.717161 E
SRR12274745,23.122590 N 79.818541 E
SRR12274746,22.700833 N 81.705278 E
SRR12274747,22.674661 N 81.758025 E
SRR12274748,26.885083 N 80.900783 E
SRR12274749,27.188717 N 80.802150 E
SRR12274750,27.350233 N 80.460250 E
SRR12274751,26.420361 N 80.422722 E
SRR12274752,12.384389 N 75.533250 E
SRR12274753,12.385389 N 75.491000 E
SRR12261223,43.099 N 89.405 W
SRR12261224,43.099 N 89.405 W
SRR12261225,43.099 N 89.405 W
SRR12261226,43.099 N 89.405 W
SRR12261227,43.099 N 89.405 W
SRR12053438,51.97525 N 105.34712 E
SRR12053439,51.97525 N 105.34712 E
SRR12053440,51.780108 N 104.91655 E
SRR12053441,51.780108 N 104.91655 E
SRR12053442,51.780108 N 104.91655 E
SRR12053443,51.780108 N 104.91655 E
SRR12042536,49.69 N 93.69 W
SRR12042537,49.69 N 93.69 W
SRR11430612,47.744011 N 9.15217 E
SRR11430613,44.0228 N 1.459364 E
SRR11430614,42.775875 N 0.261183 W
SRR11430615,41.497325 N 0.512892 E
SRR11430616,37.048097 N 3.368361 W
SRR11430617,46.965417 N 10.9448 E
SRR10688474,49.13 N 16.63 E
SRR10599098,31 N 117 E
SRR10599099,31 N 117 E
SRR10599100,31 N 117 E
SRR10599101,31 N 117 E
SRR10599102,31 N 117 E
SRR10599103,31 N 117 E
SRR10599104,31 N 117 E
SRR10599105,31 N 117 E
SRR10599106,31 N 117 E
SRR10599107,31 N 117 E
SRR10599108,31 N 117 E
SRR10599109,31 N 117 E
SRR10599110,31 N 117 E
SRR10599111,31 N 117 E
SRR10599112,31 N 117 E
SRR10599113,31 N 117 E
SRR10492803,36.78 N 100.00 E
SRR10132616,40.02722 N 116.3567 E
SRR10132617,40.02694 N 116.3528 E
SRR10132618,40.02639 N 116.3489 E
SRR10132619,40.02778 N 116.3606 E
SRR10132620,40.02972 N 116.3722 E
SRR10132621,40.02917 N 116.3681 E
SRR10132623,40.02833 N 116.3642 E
SRR10132624,40.02722 N 116.3567 E
SRR10132625,40.02694 N 116.3528 E
SRR10132626,40.02639 N 116.3489 E
SRR10132627,40.02778 N 116.3606 E
SRR10132628,40.02972 N 116.3722 E
SRR10132629,40.02917 N 116.3681 E
